Fitness,,,,,,,,,,,Best fitness of population on every 10 generations,,,Best fitness of population on every generations
846,809,848,848,848,849,849,849,849,849,,844.4,,,154
811,849,849,850,850,850,850,851,851,851,,846.2,,,143
851,851,851,851,851,851,851,851,851,812,,847.1,,,162
851,851,851,851,851,851,851,853,817,853,,848,,,162
853,853,853,853,853,853,853,817,853,853,,849.4,,,172
854,854,854,854,854,854,817,854,854,854,,850.3,,,181
854,854,854,854,854,817,854,854,854,855,,850.4,,,197
855,855,855,855,817,855,855,855,855,855,,851.2,,,200
855,855,855,817,855,855,855,855,856,856,,851.4,,,211
856,856,815,856,856,856,856,856,856,856,,851.9,,,217
856,816,857,857,857,857,857,857,857,857,,852.8,,,220
817,857,857,858,858,858,858,858,858,858,,853.7,,,244
858,858,858,858,858,858,858,858,858,818,,854,,,258
858,858,858,858,858,858,858,858,818,858,,854,,,263
858,858,858,858,858,858,858,818,858,858,,854,,,266
858,858,858,858,858,858,818,858,858,858,,854,,,270
858,858,858,858,858,818,858,858,858,858,,854,,,270
858,858,858,858,824,858,858,858,858,858,,854.6,,,273
858,858,858,819,858,858,858,858,858,863,,854.6,,,275
863,863,821,863,863,863,863,863,863,863,,858.8,,,275
863,822,863,863,863,863,863,863,863,863,,858.9,,,280
822,863,863,863,863,863,863,863,863,863,,858.9,,,278
863,863,863,863,863,863,863,863,863,822,,858.9,,,284
863,863,863,864,864,864,864,864,822,864,,859.5,,,287
864,864,864,864,864,865,865,823,865,865,,860.3,,,287
865,865,865,865,865,865,823,865,865,865,,860.8,,,287
865,865,865,865,865,823,865,865,865,865,,860.8,,,294
865,865,865,865,823,865,865,865,865,865,,860.8,,,298
865,865,865,824,865,865,865,865,865,865,,860.9,,,298
866,866,823,865,865,865,865,865,865,865,,861,,,326
865,823,865,865,865,865,865,865,865,865,,860.8,,,326
824,865,865,865,865,865,865,865,865,865,,860.9,,,314
865,865,865,865,865,865,865,865,865,823,,860.8,,,332
865,865,865,865,865,865,865,865,823,865,,860.8,,,342
865,865,865,865,865,865,865,824,865,865,,860.9,,,345
865,865,865,865,865,865,825,865,865,865,,861,,,350
865,865,865,865,865,824,865,865,865,865,,860.9,,,351
865,865,865,865,824,865,865,865,865,865,,860.9,,,355
865,865,865,824,865,865,865,865,865,865,,860.9,,,362
865,865,825,865,865,865,865,865,865,867,,861.2,,,370
867,824,867,867,867,867,867,867,867,867,,862.7,,,370
840,867,867,867,867,867,867,867,867,867,,864.3,,,358
867,867,867,867,867,867,867,867,867,824,,862.7,,,379
867,867,867,867,867,867,867,867,824,867,,862.7,,,390
867,867,867,868,868,868,868,826,868,868,,863.5,,,390
869,869,869,869,869,869,828,869,870,870,,865.1,,,392
870,870,870,870,870,829,871,871,871,871,,866.3,,,390
871,871,871,871,827,871,871,871,871,871,,866.6,,,390
872,874,874,833,875,875,875,875,879,879,,871.1,,,392
879,879,835,879,879,879,880,880,880,880,,875,,,398
880,842,882,882,882,882,882,882,890,890,,879.4,,,395
842,890,890,890,890,892,892,892,892,894,,886.4,,,395
894,897,897,898,898,898,898,899,899,844,,892.2,,,413
901,901,899,899,899,899,899,899,842,899,,893.7,,,413
899,899,899,899,902,902,902,843,902,902,,894.9,,,416
902,902,902,902,902,902,845,902,902,902,,896.3,,,416
902,902,902,902,902,844,903,903,903,903,,896.6,,,418
903,903,903,903,846,903,903,903,903,912,,898.2,,,447
912,912,912,856,912,912,912,912,912,913,,906.5,,,456
913,913,858,913,913,913,913,913,913,913,,907.5,,,456
913,859,913,913,913,913,913,913,913,913,,907.6,,,474
859,913,913,913,913,913,913,913,913,913,,907.6,,,446
913,913,913,913,913,913,913,913,913,859,,907.6,,,487
913,913,913,913,913,913,913,913,865,913,,908.2,,,487
913,913,913,913,913,913,913,860,913,913,,907.7,,,489
913,916,916,916,916,916,863,916,916,916,,910.4,,,489
916,916,916,916,916,863,916,917,916,917,,910.9,,,492
917,917,917,917,864,917,917,917,917,917,,911.7,,,497
917,917,917,864,917,917,917,917,917,917,,911.7,,,497
917,917,864,917,917,917,917,917,917,917,,911.7,,,505
917,864,918,918,918,918,918,918,918,918,,912.5,,,529
864,918,918,918,918,918,918,918,918,918,,912.6,,,500
918,918,918,918,918,918,918,918,919,868,,913.1,,,552
918,918,918,918,918,918,918,918,863,918,,912.5,,,552
919,919,919,919,919,919,919,872,919,919,,914.3,,,552
919,919,919,919,919,919,872,919,919,919,,914.3,,,551
919,919,920,919,919,872,923,919,919,919,,914.8,,,554
919,919,919,919,872,919,919,919,919,925,,914.9,,,554
925,925,925,876,925,925,925,925,925,925,,920.1,,,567
925,925,878,925,925,925,925,925,925,925,,920.3,,,567
925,876,925,925,925,925,925,927,927,927,,920.7,,,569
878,927,927,927,927,927,927,927,927,927,,922.1,,,533
927,927,927,927,927,927,927,927,927,878,,922.1,,,573
927,927,927,927,927,927,927,927,878,927,,922.1,,,574
927,927,927,927,927,927,927,879,927,927,,922.2,,,573
927,927,927,927,927,927,878,927,927,927,,922.1,,,575
927,927,927,927,927,878,927,927,927,927,,922.1,,,579
927,927,927,927,878,927,927,927,927,927,,922.1,,,577
927,927,927,888,927,927,927,927,927,927,,923.1,,,577
927,927,879,927,927,927,927,927,927,927,,922.2,,,580
927,879,927,927,927,927,927,927,927,927,,922.2,,,580
879,928,928,928,928,928,928,928,928,928,,923.1,,,541
928,928,928,928,928,928,928,928,928,881,,923.3,,,580
